site_date_key,Mangrove,Spartina,edge_man,edge_mar,edge_l.mangrove,edge_l.marsh,land_water_ratio,fetch_distance,site_type,Spill Bank
1f36d182,0.1416003241592318,0.0946848341853509,0.1416003241592318,0.0946848341853509,0.5992772679896009,0.4007227320103991,0.3716661309212807,0.0,mixed,
41bfdee8,0.1471130426086229,0.0422302359397207,0.1471130426086229,0.0422302359397207,0.7769646946884445,0.2230353053115555,0.2308751019012345,19.157417294727463,mangrove,
79464cf2,0.1403013357056438,0.061550527539937,0.1403013357056438,0.061550527539937,0.6950707982068404,0.3049292017931597,0.3523871564341936,0.0,mixed,
983b722b,0.1941679190305507,0.0094007911625198,0.1941679190305507,0.0094007911625198,0.9538200583301636,0.0461799416698363,0.4896868818835543,4.827200937301867,mangrove,
9db4ff53,0.2045761812293066,0.0016595279934701,0.2045761812293066,0.0016595279934701,0.9919532461195774,0.0080467538804227,0.3902384757041079,30.829789023807308,mangrove,
e49684aa,0.0013578534916985,0.194539723354799,0.0013578534916985,0.194539723354799,0.0069314460829832,0.9930685539170168,0.2458830226390502,16.32986325178686,marsh,
f51955eb,0.096204977052327,0.1040386655209764,0.096204977052327,0.1040386655209764,0.480439607550133,0.5195603924498668,0.4694563952999731,8.406783307516402,mixed,
10ef41b4,0.2605059392099533,0.0,0.2605059392099533,0.0,1.0,0.0,0.1625597078243332,0.0,mangrove,
39a22c63,0.2985116610486669,0.0,0.2985116610486669,0.0,1.0,0.0,0.3923276319621022,2.5280630336873453,mangrove,
5e4ec044,0.1329420498540975,0.0,0.1329420498540975,0.0,1.0,0.0,0.5617253229889293,0.0,mangrove,
a45372ac,0.2712495333340778,0.0135364341604911,0.2712495333340778,0.0135364341604911,0.952468043704614,0.0475319562953861,0.5142879255527212,0.0,mangrove,
54b8fc49,0.0083978742982366,0.1563592235656892,0.0083978742982366,0.1563592235656892,0.0509712443780267,0.9490287556219732,0.6898931111812776,0.0,marsh,
7b9ead19,0.0174860273366268,0.1330869659454115,0.0174860273366268,0.1330869659454115,0.1161299045431988,0.8838700954568013,0.4254675733011057,0.0,marsh,
bac32223,0.0114264174115281,0.0828050575639027,0.0114264174115281,0.0828050575639027,0.1212590317036574,0.8787409682963425,0.5117126518811806,0.0,marsh,
5f2537fb,0.1431400336400922,0.0861636038554195,0.1431400336400922,0.0861636038554195,0.6242379545457231,0.3757620454542769,0.5211284923992554,2.363186918600001,mixed,
b11be902,0.0589320299511118,0.1001950024120919,0.0589320299511118,0.1001950024120919,0.3703458116192404,0.6296541883807595,0.2974360091093113,26.661760976503945,mixed,
4055fb57,0.100707732307087,0.0806520212627979,0.100707732307087,0.0806520212627979,0.5552926177101383,0.4447073822898616,0.4937124157819171,0.0,mixed,
6abec928,0.0281266396466411,0.140477204628368,0.0281266396466411,0.140477204628368,0.1668208679795215,0.8331791320204784,0.2582295416301122,0.0,marsh,
9820d7df,0.096863338419651,0.0238523562501366,0.096863338419651,0.0238523562501366,0.8024088225198577,0.1975911774801422,0.7395138095094035,0.0,mangrove,
ab165e76,0.0017161850370872,0.1315446634923618,0.0017161850370872,0.1315446634923618,0.0128783889343763,0.9871216110656236,0.1820185250170438,10.509345511398486,marsh,
286cc7fc,0.1346334077528407,0.0,0.1346334077528407,0.0,1.0,0.0,0.4256567002399921,38.389565322131055,mangrove,0.0027602661540086
52a8182e,0.2505445544771808,0.0001496891783554,0.2505445544771808,0.0001496891783554,0.999402901414198,0.000597098585802,0.328080545750018,14.882820073481197,mangrove,0.0
8ffb0cbc,0.0665192931736116,0.0,0.0665192931736116,0.0,1.0,0.0,0.3911985594331396,99.99229356535372,mangrove,0.0
a479a49f,0.2308045310330718,0.0202280144468531,0.2308045310330718,0.0202280144468531,0.9194207491774375,0.0805792508225624,0.6839410183754894,0.0,mangrove,0.0
af8bc475,0.0831201529900994,0.0197361407471053,0.0831201529900994,0.0197361407471053,0.8081192698083143,0.1918807301916857,0.4504282105066768,61.26556656181452,mangrove,0.0
b5a61449,0.1668979015200712,0.0028106465462187,0.1668979015200712,0.0028106465462187,0.9834383914172612,0.0165616085827387,0.336855490174524,0.0,mangrove,0.0
3096ab9a,0.2041509666417805,0.0044727530405287,0.2041509666417805,0.0044727530405287,0.9785606687133188,0.021439331286681,0.6758093357888122,0.0,mangrove,
5925e1f7,0.1409661510671377,0.0053504192145888,0.1409661510671377,0.0053504192145888,0.9634325818033672,0.0365674181966326,0.330851982202589,663.3892746240116,mangrove,
3aee966b,0.1082276305328713,0.0700089769291744,0.1082276305328713,0.0700089769291744,0.6072132547513712,0.3927867452486288,0.3574520666794177,0.0,mixed,
56dad4fd,0.0245185778091379,0.0571289279584168,0.0245185778091379,0.0571289279584168,0.3002979402572412,0.6997020597427588,0.1133165231317503,34.726446603442035,mixed,
