site_date_key,Mangrove,Manmade,Saltmarsh,edge_man,edge_mar,edge_l.mangrove,edge_l.marsh,land_water_ratio,mud,fetch_distance,site_type
05244dc3,0.018467051411117614,0.005834322389758789,0.01805330193803651,0.018467051411117614,0.01805330193803651,0.5056646422492881,0.49433535775071175,0.3645114786578054,36036.94289505409,0.0,mixed
0d2059f3,0.0020155742274053554,0.0,0.05215773127232319,0.0020155742274053554,0.05215773127232319,0.03720604103464676,0.9627939589653532,0.4532432030444977,39206.11578524647,11.597734172272965,marsh
10ef41b4,0.058179671791162686,0.00032546362047138197,0.0015712518045274083,0.058179671791162686,0.0015712518045274083,0.9737033051545877,0.02629669484541231,0.46613622217611916,38567.39270595205,0.0,mangrove
124ad590,0.028521754015360067,0.0044568939885369285,0.014974656512838242,0.028521754015360067,0.014974656512838242,0.6557266144264866,0.34427338557351334,0.3369976675568484,64197.39162320534,369.8759049294739,mixed
1f36d182,0.05084716304634699,0.0044213525268879915,0.06128606183898618,0.05084716304634699,0.06128606183898618,0.45345314110374535,0.5465468588962547,0.3541542721193756,131247.50495886026,0.0,mixed
22dc2bdf,0.014403234852480051,0.0,0.06584454206270075,0.014403234852480051,0.06584454206270075,0.17948453410371462,0.8205154658962854,0.7277915410418584,45530.36160750477,0.0,marsh
286cc7fc,0.06374991670849403,0.001623449553944768,0.009861104332893313,0.06374991670849403,0.009861104332893313,0.8660376640157055,0.13396233598429463,0.5737767820016636,39563.819276434224,38.389565322131055,mangrove
3096ab9a,0.03152169761035588,0.0024553927213173074,0.018496537598356393,0.03152169761035588,0.018496537598356393,0.6302041141360655,0.36979588586393447,0.6425738644811584,72870.1893568857,0.0,mixed
39a22c63,0.06437795582705794,0.0,0.014005640247170676,0.06437795582705794,0.014005640247170676,0.8213192434561506,0.17868075654384946,0.6648900349338777,49152.63694521168,2.5280630336873453,mangrove
3aee966b,0.01034292820737225,0.0,0.047601281066263226,0.01034292820737225,0.047601281066263226,0.17849804729457697,0.821501952705423,0.28336234332956267,93407.95361124894,0.0,marsh
4055fb57,0.012029527638177797,0.00046496284284637144,0.06268629116871889,0.012029527638177797,0.06268629116871889,0.16100375837770253,0.8389962416222975,0.6427343515630853,51363.75915748523,0.0,marsh
41bfdee8,0.05993997563733566,0.00376316118187744,0.05028926828826501,0.05993997563733566,0.05028926828826501,0.5437756216289772,0.4562243783710228,0.43326088098518006,82618.10374171655,19.157417294727463,mixed
4cb86d8e,0.004946851576608438,0.0,0.04937966777701471,0.004946851576608438,0.04937966777701471,0.09105776765134359,0.9089422323486565,0.25250164250708274,138419.72479294575,2.291521799591838,marsh
4fc39c30,0.002778671062458389,0.002811852621956404,0.08858569267668608,0.002778671062458389,0.08858569267668608,0.030413072983157933,0.969586927016842,0.32794287687275936,161683.8289948379,3.5289872626426138,marsh
52a8182e,0.06809930698109022,0.0,0.015536199213112318,0.06809930698109022,0.015536199213112318,0.8142391919403572,0.18576080805964273,0.6160799052886955,53996.701115272524,14.882820073481195,mangrove
